normalized_handle,parent_brand
ariat-sunstopper-2-0-black,Ariat
ariat-sunstopper-2-0-navy,Ariat
ariat-sunstopper-2-0-team-1-4-zip-baselayer-for-kids,Ariat
ariat-sunstopper-team-2-0-1-4-zip,Ariat
ariat-tall-boot-bag,Ariat
ariat-tall-boots-burford-insulated-navy-ladies,Ariat
ariat-team-ii-cap,Ariat
ariat-team-navy-boot-bag,Ariat
ariat-team-tall-boot-bag-navy,Ariat
ariat-tek-grip-gloves-black,Ariat
ariat-tek-team-1-2-zip-sweatshirt,Ariat
ariat-terrain-h20-boots,Ariat
ariat-terrain-ladies-boots,Ariat
ariat-terrain-mens-boots,Ariat
ariat-trucker-cap-black-charcoal,Ariat
ariat-truckers-cap,Ariat
ariat-ultra-stretch-skinny-sidewinder-jeans,Ariat
ariat-uni-cotton-print-cap,Ariat
ariat-uni-tarsia-beanie,Ariat
ariat-uni-team-ii-cap,Ariat
ariat-uni-tri-factor-cap-relic,Ariat
ariat-uni-vanity-bag-sunflower,Ariat
ariat-unicorn-moon-t,Ariat
ariat-unisex-fishing-shirt,Ariat
ariat-unisex-fishing-shirt-coastal,Ariat
ariat-unisex-fishing-shirt-coastal-childs,Ariat
ariat-unisex-fishing-shirt-helimuster,Ariat
ariat-venttek-ultra-western-boots,Ariat
ariat-waxed-laces-60-black-pair,Ariat
ariat-western-wear-tee,Ariat
ariat-wild-at-heart-t,Ariat
ariat-wild-rag-southwest-blue,Ariat
ariat-wms-bandera-1-4-zip-ss-polo,Ariat
ariat-wms-new-team-ss-polo-navy,Ariat
ariat-wms-quickdraw-sandstorm-distress-white-boots,Ariat
ariat-wms-sunstopper-3-0,Ariat
ariat-wms-taryn-ss-polo-duck-green,Ariat
ariat-wms-vertical-logo-v-neck-ss-tee,Ariat
ariat-womens-barnyard-ii-twin-gore-boots,Ariat
ariat-womens-cruiser-brown-floral-emboss,Ariat
ariat-womens-dalton-mule,Ariat
ariat-womens-dura-terrain-h2o-boots,Ariat
ariat-womens-duraterrain-h20-boots,Ariat
ariat-womens-heritage-iv-zip-paddock-boot,Ariat
ariat-womens-heritage-western-r-toe-boot,Ariat
ariat-womens-mid-rise-straight-leg-jeans,Ariat
ariat-womens-portland,Ariat
ariat-womens-prix-2-0-polo,Ariat
ariat-womens-prix-2-0-polo-black,Ariat
ariat-womens-prix-2-0-polo-carmine-rose,Ariat
ariat-womens-prix-2-0-polo-red,Ariat
ariat-womens-quickdraw,Ariat
ariat-womens-r-e-a-l-riding-jeans,Ariat
ariat-womens-r-e-a-l-riding-jeans-whipstitch,Ariat
ariat-womens-real-grizzly-insulated-jacket,Ariat
ariat-womens-round-up-back-zip-boots,Ariat
ariat-womens-round-up-wide-square-toe-boots,Ariat
ariat-womens-sunstopper-2-0-1-4-zip-maui-blue,Ariat
ariat-womens-sunstopper-2-0-1-4-zip-mosaic-blue,Ariat
ariat-womens-sunstopper-3-0-performance-top,Ariat
ariat-womens-tack-room-belt-tan,Ariat
ariat-womens-terrain-zip-waterproof-boot,Ariat
ariat-womens-vertical-logo-v,Ariat
ariat-womens-wexford-h2o-boots,Ariat
ariat-work-cooler-bag,Ariat
ariat-youth-different-colour-ls-tee,Ariat
ariat-youth-taryn-polo,Ariat
ariat-yth-aptos-ss-show-shirt,Ariat
ariat-yth-floral-mosaic-ss-tee,Ariat
ariat-yth-little-friend-ss-tee-marine-blue,Ariat
ariat-yth-ss-t,Ariat
aristopet-100gm-powder-for-cat-grooming,Aristopet
aristopet-125ml-house-spray-for-dog-repel,Aristopet
aristopet-125ml-poultry-wormer,Aristopet
aristopet-250ml-cat-nip-spray,Aristopet
aristopet-250ml-shampoo-for-rabbits,Aristopet
aristopet-500ml-chew-deterrent,Aristopet
aristopet-500ml-stop-itch-for-dogs-cats,Aristopet
aristopet-50ml-ear-canker-drops,Aristopet
aristopet-50ml-worm-syrup-for-puppies-or-kittens,Aristopet
aristopet-all-wormer-tablets-for-cats-kittens,Aristopet
aristopet-all-wormer-tablets-for-dogs-puppies-4-pack,Aristopet
aristopet-all-wormer-tablets-for-dogs-puppies-6-pack,Aristopet
aristopet-all-wormer-tablets-for-large-dogs,Aristopet
aristopet-bird-wormer-plus-syrup-50ml,Aristopet
aristopet-cat-cleanse-spray-250ml,Aristopet
aristopet-cat-laxative-paste-100g,Aristopet
aristopet-catnip-spray-125ml,Aristopet
aristopet-dog-repel-spray-house-500ml,Aristopet
aristopet-dry-bath-for-rabbit-100gm,Aristopet
aristopet-flea-powder-100gm,Aristopet
aristopet-flea-powder-200gm,Aristopet
aristopet-flea-tick-shampoo-125ml,Aristopet
aristopet-flea-tick-shampoo-250ml,Aristopet
aristopet-flea-tick-shampoo-500ml,Aristopet
aristopet-flea-tick-spray-250ml-for-dogs-cats,Aristopet
aristopet-flea-tick-spray-500ml,Aristopet
aristopet-glucosamine-tablets-90s,Aristopet
aristopet-large-dog-2-pack-all-wormer-tablet,Aristopet
