shopify_id,handle,title,old_canonical,new_canonical,redirect_required,redirect_from,redirect_to,category_path,parent_categories,brand_pages,status,error_message
gid://shopify/Product/10176953221412,mountain-creek-jewellery-sterling-silver-and-cubic-zirconia-horseshoe-stud-earrings,Mountain Creek Jewellery Sterling Silver and Cubic Zirconia Horseshoe Stud Earrings,/products/mountain-creek-jewellery-sterling-silver-and-cubic-zirconia-horseshoe-stud-earrings,/rider/jewellery/earrings/mountain-creek-jewellery-sterling-silver-and-cubic-zirconia-horseshoe-stud-earrings,1,/products/mountain-creek-jewellery-sterling-silver-and-cubic-zirconia-horseshoe-stud-earrings,/rider/jewellery/earrings/mountain-creek-jewellery-sterling-silver-and-cubic-zirconia-horseshoe-stud-earrings,/rider/jewellery/earrings,"[""/rider/jewellery"",""/rider""]",[],success,
gid://shopify/Product/10176953254180,mountain-creek-jewellery-sterling-silver-and-cubic-zirconia-large-horseshoe-stud-earrings,Mountain Creek Jewellery Sterling Silver and Cubic Zirconia Large Horseshoe Stud Earrings,/products/mountain-creek-jewellery-sterling-silver-and-cubic-zirconia-large-horseshoe-stud-earrings,/rider/jewellery/earrings/mountain-creek-jewellery-sterling-silver-and-cubic-zirconia-large-horseshoe-stud-earrings,1,/products/mountain-creek-jewellery-sterling-silver-and-cubic-zirconia-large-horseshoe-stud-earrings,/rider/jewellery/earrings/mountain-creek-jewellery-sterling-silver-and-cubic-zirconia-large-horseshoe-stud-earrings,/rider/jewellery/earrings,"[""/rider/jewellery"",""/rider""]",[],success,
gid://shopify/Product/10176953286948,mountain-creek-jewellery-sterling-silver-and-cubic-zirconia-medium-horseshoe-stud-earrings,Mountain Creek Jewellery Sterling Silver and Cubic Zirconia Medium Horseshoe Stud Earrings,/products/mountain-creek-jewellery-sterling-silver-and-cubic-zirconia-medium-horseshoe-stud-earrings,/rider/jewellery/earrings/mountain-creek-jewellery-sterling-silver-and-cubic-zirconia-medium-horseshoe-stud-earrings,1,/products/mountain-creek-jewellery-sterling-silver-and-cubic-zirconia-medium-horseshoe-stud-earrings,/rider/jewellery/earrings/mountain-creek-jewellery-sterling-silver-and-cubic-zirconia-medium-horseshoe-stud-earrings,/rider/jewellery/earrings,"[""/rider/jewellery"",""/rider""]",[],success,
gid://shopify/Product/10177650852132,whip-holder,Whip holder,/horse/stable/whip-holder,/horse/stable/whip-holder,,,,/horse/stable,"[""/horse""]",[],success,
gid://shopify/Product/10177727234340,plastic-bridle-hook,Plastic bridle hook,/horse/stable/plastic-bridle-hook,/horse/stable/plastic-bridle-hook,,,,/horse/stable,"[""/horse""]",[],success,
gid://shopify/Product/10177803682084,livigno-riding-socks,Livigno Riding Socks,/clothing/accessories/socks/livigno-riding-socks,/clothing/accessories/socks/livigno-riding-socks,,,,/clothing/accessories/socks,"[""/clothing/accessories"",""/clothing""]",[],success,
gid://shopify/Product/10182099829028,hoodie-tommy-hilfiger-grove-desert-sky-unisex,Hoodie Tommy Hilfiger Grove Desert Sky Unisex,/clothing/mens/hoodie-tommy-hilfiger-grove-desert-sky-unisex,/clothing/mens/hoodie-tommy-hilfiger-grove-desert-sky-unisex,,,,/clothing/mens,"[""/clothing""]",[],success,
gid://shopify/Product/10182100091172,polo-top-tommy-hilfiger-erwin-long-sleeve-desert-sky-mens,Polo Top Tommy Hilfiger Erwin Long Sleeve Desert Sky Mens,/clothing/mens/polo-top-tommy-hilfiger-erwin-long-sleeve-desert-sky-mens,/clothing/tops/polo-shirts/polo-top-tommy-hilfiger-erwin-long-sleeve-desert-sky-mens,1,/clothing/mens/polo-top-tommy-hilfiger-erwin-long-sleeve-desert-sky-mens,/clothing/tops/polo-shirts/polo-top-tommy-hilfiger-erwin-long-sleeve-desert-sky-mens,/clothing/tops/polo-shirts,"[""/clothing/tops"",""/clothing""]",[],success,
gid://shopify/Product/10182100189476,shirt-riding-tommy-hilfiger-eaton-optic-white-mens,Shirt Riding Tommy Hilfiger Eaton Optic White Mens,/clothing/mens/shirt-riding-tommy-hilfiger-eaton-optic-white-mens,/clothing/mens/show-shirts/shirt-riding-tommy-hilfiger-eaton-optic-white-mens,1,/clothing/mens/shirt-riding-tommy-hilfiger-eaton-optic-white-mens,/clothing/mens/show-shirts/shirt-riding-tommy-hilfiger-eaton-optic-white-mens,/clothing/mens/show-shirts,"[""/clothing/mens"",""/clothing""]",[],success,
gid://shopify/Product/10182100386084,headstall-tommy-hilfiger-lincoln-taupe,Headstall Tommy Hilfiger Lincoln Taupe,/horse/halters/headstall-tommy-hilfiger-lincoln-taupe,/horse/halters/headstall-tommy-hilfiger-lincoln-taupe,,,,/horse/halters,"[""/horse""]",[],success,
