Product Type,Count,Sample Products,Collections
"Clothing - Kid's Clothing",38,"ariat-unicorn-moon-t-shirt; ariat-sunstopper-2-0-1-4-zip-kids; aztec-diamond-young-riders-zip-hoodie; bare-youth-competition-tights; cavalleria-toscana-boys-breeches-knee-grip-horse-and-helmet","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); on-sale (On Sale - Discount On The Best Brands & Gear); ariat (Shop & Buy Ariat Clothing & Footwear); globo_basis_collection (Globo basis collection - Do not delete); base-layers (Shop Horse Riding Base Layers); bare-equestrian (Shop BARE Equestrian Apparel & Gear); cavalleria-toscana (Shop Cavalleria Toscana Equestrian Apparel & Horse Gear); breeches (Horse Riding Breeches - Quality International & National Brands); horse-boots (Horse Boots - All Types); accessories (Accessories)"
"Girths",38,"equipe-elastic-event-girth; equipe-fleece-lining-for-dressage-girth-gh23; equipe-leather-dressage-girth-base; equipe-leather-lining-evo-stud-girth-gh26; mattes-anatomic-leather-girth-with-buckle-cover","strapping (Bridles & Strapping - Top Brands For All Disciplines); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); globo_basis_collection (Globo basis collection - Do not delete); on-sale (On Sale - Discount On The Best Brands & Gear); tacklet (Tacklet)"
"STABLE: Horse Treats & Toys",37,"alto-lab-muffin-bites-1kg; alto-lab-muffin-bites-500gm; equine-pure-delights-treat-peppermint-spinach-parsley-500gm; equine-pure-delights-treat-carrot-mint-turmeric-chia; equine-pure-delights-treat-apple-cinnamon-molasses","horse-health (Horse Health & Nutrition); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); stable-and-yard (Stable & Arena Gear)"
"Bird Toys",37,"bird-foraging-toy-twin-ball-cardboard-small; bird-munch-crunch-large; bird-toy-cardboard-activity-board-medium; bird-toy-cardboard-activity-box-with-bell; bird-toy-colourful-wicker-balls-with-decoration","ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); birds (Shop Birds - Feed, Treats, Accessories, Supplies)"
"Feed Supplements",36,"cen-cf50-vitamin-mineral-pellet; cen-complete-electrolyte; cen-high-omega-3-oil; betavet-buildabone; bone-gold","horse-health (Horse Health & Nutrition); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); globo_basis_collection (Globo basis collection - Do not delete); horse-halters (Shop Horse Halters); on-sale (On Sale - Discount On The Best Brands & Gear); birds (Shop Birds - Feed, Treats, Accessories, Supplies)"
"Cat Potions & Lotions",36,"advantage-cat-over-4kg-large-4-pack; advantage-cat-over-4kg-large-6-pack; advantage-cat-under-4kg-small-4-pack; advantage-cat-under-4kg-small-6-pack; advantage-seresto-cat-kitten","ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); horse-grooming-supplies (Horse Grooming Gear & Accessories); pets (Pets - Products For Dogs, Cats, & Other Small Animals)"
"Spurs & Straps",35,"freejump-spur-straps; balkenhol-spurs-disc-rowel; dressage-spur-with-disc-rowel; freejump-spur-one; metalab-ss-rubber-spur-2mm-round-rowel","footwear (Horse Riding Boots & Footwear, Trainers, Workers); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); freejump (Shop FreeJump Stirrups & FreejumpSystem Range); globo_basis_collection (Globo basis collection - Do not delete)"
"HORSE: Flyveils & Bonnets",35,"bonnett-crochet-pu-with-ears-navy; bonnett-crochet-glitter-with-ears; fly-mask-citronella-scented-black; fly-mask-lycra-pull-on-kool-master-purple-black; fly-mask-lycra-pull-on-kool-master-turquoise-black","horse-health (Horse Health & Nutrition); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); horse-boots (Horse Boots - All Types); horse-halters (Shop Horse Halters)"
"RUGS: Winter Rugs, Neck Rugs & Hoods",35,"canvas-neck-rug-eurohunter-gladiator-deluxe; canvas-neck-rug-eurohunter-vancouver; canvas-combo-eurohunter-vancouver; canvas-rug-eurohunter-gladiator-deluxe; defender-doona-rug-zilco","horse-rugs (Horse Rugs - All Types); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); eurohunter (Shop Eurohunter Equestrian Gear & Accessories); zilco (Shop Zilco Rugs, Horse Boots & Accessories); on-sale (On Sale - Discount On The Best Brands & Gear)"
"Mens",35,"ariat-mens-wf-wayne-classic-ls-shirt; ariat-unisex-fishing-shirt-cattle-muster; jca-mens-diamantina-sherpa-vest-khaki; mens-cinch-jacket-mwj1583006-chr; mens-cinch®-solid-white-pinpoint-oxford-buttondown-shirt-white","ariat (Shop & Buy Ariat Clothing & Footwear); globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld); on-sale (On Sale - Discount On The Best Brands & Gear)"
"Kids",34,"ariat-unisex-fishing-shirt-coastal-childs; ariat-yth-ss-t-shirt; wrangler-boys-cooper-ss-tee-navy; ariat-kids-sunstopper-2-0-good-show-print; ariat-yth-floral-mosaic-ss-tee","on-sale (On Sale - Discount On The Best Brands & Gear); ariat (Shop & Buy Ariat Clothing & Footwear); globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld)"
"STABLE: Hoof Care",33,"cdm-vanner-prest-hoof-oil-500ml; cornucrescine-hoof-barrier-500ml; cornucrescine-hoof-moisturiser-500ml; cornucrescine-hoof-dressing-500ml; cornucrescine-hoof-oil-tea-tree-500ml","horse-health (Horse Health & Nutrition); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); horse-grooming-supplies (Horse Grooming Gear & Accessories); horse-queened (HORSE QUEENED)"
"Horse Grooming Combs, Brushes & Mitts",33,"geegee-collective-suds-sponge-brush; geegee-collective-premium-grooming-kit; geegee-collective-ultimate-grooming-kit; geegee-collective-black-plaiting-bands; geegee-collective-light-grey-plaiting-thread","horse-grooming-supplies (Horse Grooming Gear & Accessories); globo_basis_collection (Globo basis collection - Do not delete); ippico-equestrian (Ippico Equestrian)"
"DIY Kit",32,"diy-activity-kit-for-horsehair-bracelets-x2-and-keyrings-x2; diy-horsehair-bracelet-kit-in-stainless-steel-gold-turquoise-bead; diy-activity-share-kit-for-horsehair-keepsakes-makes-8; diy-horsehair-bracelet-kit-in-stainless-steel-heart-bead; diy-horsehair-bracelet-kit-in-sterling-silver","horse-jewellery (Horse Jewellery - Equine & Equestrian Themed); living-horse-tales-jewellery-by-monika (Living Horse Tales Jewellery By Monika); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); horse-books (Books - Fiction & Non Fiction)"
