Product Type,Count,Sample Products,Collections
"Horse Rugs",44,"shanga-mesh-combo; shanga-towel-rug; ca-coolite-rug; eureka-mini-canvas-rug; eureka-mini-synthetic-combo","horse-rugs (Horse Rugs - All Types); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); kentucky (Shop Kentucky Horsewear - Boots, Pads, Bonnets, Girths, Bandages & More); horse-boots (Horse Boots - All Types); accessories (Accessories); zilco (Shop Zilco Rugs, Horse Boots & Accessories); horse-halters (Shop Horse Halters)"
"CLOTHING: Jodhpurs & Breeches Ladies",44,"bare-equestrian-performance-riding-tights-dark-glow; bare-equestrian-performance-riding-tights-black-python; bare-equestrian-performance-riding-tights-ice-blue-1; bare-equestrian-performance-riding-tights-ruby-rose; bare-equestrian-thermo-fit-winter-performance-riding-tights-navy","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); peter-williams (Peter Williams Riding Apparel - Breeches, Jodphurs, Earlwwodd & More); on-sale (On Sale - Discount On The Best Brands & Gear); breeches (Horse Riding Breeches - Quality International & National Brands)"
"RIDER: Glasses & Goggles",43,"gidgee-charisma-sunglasses-auburn-leopard-tortoise-frame-rose-lens; gidgee-charisma-sunglasses-ombre-tortoise-on-black-frame-brown-polar-gradient-lens; gidgee-charisma-sunglasses-black-frame-grey-lens; gidgee-cleancut-sunglasses-black-frame-grey-lens; gidgee-cleancut-sunglasses-matt-black-frame-blue-revo-lens","ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); zilco (Shop Zilco Rugs, Horse Boots & Accessories)"
"CLOTHING: Clothing Ladies",42,"huntington-hudson-riding-jacket-black-ladies; huntington-hudson-riding-jacket-navy-ladies; huntington-nicky-kwik-dry-riding-jacket-black-ladies; huntington-olivia-show-shirt-with-diamantes-navy-ladies; huntington-nicky-kwik-dry-riding-jacket-navy-ladies","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); on-sale (On Sale - Discount On The Best Brands & Gear); ariat (Shop & Buy Ariat Clothing & Footwear)"
"Saddle Pad",41,"acavallo-anti-slip-gel-pad-standard; active-soft-gel-pad-pony; cavalleria-toscana-rhombi-quilted-saddle-pad-dressage; kentucky-horsewear-half-pad-intelligent-absorb-thick; kentucky-horsewear-half-pad-intelligent-absorb-thin","saddle-pads (Saddle Blankets, Pads & Squares); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); globo_basis_collection (Globo basis collection - Do not delete); acavallo (Shop Acavallo Horse Riding Essentials); cavalleria-toscana (Shop Cavalleria Toscana Equestrian Apparel & Horse Gear); thinline-global-australia (Shop Thinline Global Australia); little-equine-co (Little Equine Co); cavallo (Shop Cavallo Products); on-sale (On Sale - Discount On The Best Brands & Gear); the-equestrian (The Equestrian); dapple-eq (Dapple EQ); anna-scarpati (Shop Anna Scarpati); kentucky (Shop Kentucky Horsewear - Boots, Pads, Bonnets, Girths, Bandages & More)"
"Dog Rugs & Fashion",41,"airyvest-blue-black; airyvest-red-black; airyvest-coral-grey; dgg-knitwear-chunky-fluffy-forest; dgg-knitwear-chunky-fluffy-lilac","pets (Pets - Products For Dogs, Cats, & Other Small Animals); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); vibrant-equestrian (Vibrant Equestrian)"
"Strapping - Girths",40,"equi-stretch-girth-cover; equipe-easy-pony-stud-girth; equipe-evo-stud-girth-base-gh26; equipe-candy-leather-atherstone-girth; equipe-easy-stud-girth","strapping (Bridles & Strapping - Top Brands For All Disciplines); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); globo_basis_collection (Globo basis collection - Do not delete); eurohunter (Shop Eurohunter Equestrian Gear & Accessories); kentucky (Shop Kentucky Horsewear - Boots, Pads, Bonnets, Girths, Bandages & More); prestige (Shop Prestige Saddles, Bridles & Equestrian Gear); thinline-global-australia (Shop Thinline Global Australia); zilco (Shop Zilco Rugs, Horse Boots & Accessories)"
"HORSE: Stirrup Irons",40,"acavallo-arena-alupro-safety-irons-black; acavallo-opera-stirrups-composite; compositi-reflex-stirrup-irons-black; compositi-stirrup-irons-black; peacock-spare-rubber-pair","strapping (Bridles & Strapping - Top Brands For All Disciplines); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); acavallo (Shop Acavallo Horse Riding Essentials); stirrups (Shop Horse Riding Stirrups & Leathers); horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes)"
"STABLE: Farrier",40,"buffer-buffalo; buffer-tennyson; clinchers-alligator; clinchers-tennyson; crease-nail-puller-tennyson","ascot-saddlery (Ascot Saddlery); farrier-tools (Shop Farrier Tools); globo_basis_collection (Globo basis collection - Do not delete); horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); horse-health (Horse Health & Nutrition)"
"RIDER: Spurs & Straps",39,"dressage-spurs-long-shank-35mm-stainless-steel-ladies; dressage-spurs-long-shank-45mm-stainless-steel-mens; dressage-spurs-schultheis-7-8-brass-rowels-stainless-steel; dressage-spurs-swan-neck-plain-knob-stainless-steel; prince-of-wales-gentle-spurs-soft-rowel-stainless-steel","footwear (Horse Riding Boots & Footwear, Trainers, Workers); ascot-saddlery (Ascot Saddlery); ariat (Shop & Buy Ariat Clothing & Footwear); globo_basis_collection (Globo basis collection - Do not delete); zilco (Shop Zilco Rugs, Horse Boots & Accessories)"
