Handle,Title,Product Count,Parent Collection,Product Types,Product Type Counts
the-equestrian,"The Equestrian",36,,"Horse Grooming; Accessories; Saddle Pad; (No Product Type); Shampoo; Dog Grooming & Coat Care; Jewellery; saddle pad; HORSE: Saddlecloths; Horse Boots; Bridles; Saddlepad; Wither relief saddlepad","Horse Grooming: 1; Accessories: 1; Saddle Pad: 5; (No Product Type): 11; Shampoo: 1; Dog Grooming & Coat Care: 1; Jewellery: 1; saddle pad: 4; HORSE: Saddlecloths: 1; Horse Boots: 4; Bridles: 1; Saddlepad: 4; Wither relief saddlepad: 1"
animo,"Shop Animo Equestrian Gear",35,,"Breeches; Socks; Cap; Mens Competition Jacket; Trousers; jacket; Competition Jacket; Mens Breeches; Belts; t-shirt; Show Shirt; Boys Show Shirt; Ladies Breeches; Girls Breeches; Casual Jacket","Breeches: 13; Socks: 4; Cap: 1; Mens Competition Jacket: 1; Trousers: 1; jacket: 1; Competition Jacket: 2; Mens Breeches: 1; Belts: 2; t-shirt: 1; Show Shirt: 1; Boys Show Shirt: 1; Ladies Breeches: 2; Girls Breeches: 1; Casual Jacket: 3"
dyon,"Shop Dy'On European Classic Equestrian Gear",34,,"Bridles; breastplate; Reins; Wrap Bag; Rug Rack; Stable Accessories; Socks; Horse Rug; Belts; Half Chaps","Bridles: 11; breastplate: 5; Reins: 10; Wrap Bag: 1; Rug Rack: 1; Stable Accessories: 1; Socks: 1; Horse Rug: 1; Belts: 2; Half Chaps: 1"
elt,"ELT  Equestrian",28,,"Apparel - Ladies; Gloves; Horse Boots & Bandages; Breeches & Riding Tights; Footwear & Chaps; Clothing - Ladies Clothing; Clothing; Boots","Apparel - Ladies: 10; Gloves: 2; Horse Boots & Bandages: 1; Breeches & Riding Tights: 10; Footwear & Chaps: 2; Clothing - Ladies Clothing: 1; Clothing: 1; Boots: 1"
ps-of-sweden,"PS Of Sweden",27,,"(No Product Type); Horse Boots","(No Product Type): 22; Horse Boots: 5"
fly-veils-and-hoods,"Mask & Fly Veils For Horses & Ponies",26,,"Fly Control; (No Product Type); fly bonnet; Fly Mask; Ear Net; Fly Bonnet; Fly Hood; Bridle Accessories; Strapping - Bridles - Bridle Accessories","Fly Control: 7; (No Product Type): 8; fly bonnet: 1; Fly Mask: 1; Ear Net: 4; Fly Bonnet: 1; Fly Hood: 1; Bridle Accessories: 1; Strapping - Bridles - Bridle Accessories: 2"
base-layers,"Shop Horse Riding Base Layers",25,,"Clothing - Ladies Clothing; top; Clothing - Kid's Clothing; (No Product Type); Womens; shirts; shirt; Equestrian; RUGS: Summer Rugs, Neck Rugs & Hoods; CLOTHING: Casual Clothing Childs; CLOTHING CLEARANCE; Ladies Shirt; Merchandise; long sleeve; Clothing","Clothing - Ladies Clothing: 9; top: 1; Clothing - Kid's Clothing: 1; (No Product Type): 2; Womens: 1; shirts: 2; shirt: 1; Equestrian: 1; RUGS: Summer Rugs, Neck Rugs & Hoods: 1; CLOTHING: Casual Clothing Childs: 1; CLOTHING CLEARANCE: 1; Ladies Shirt: 1; Merchandise: 1; long sleeve: 1; Clothing: 1"
ego-7,"Ego 7",24,,"Boots; Clothing - Ladies Clothing; Clothing - Clothing Accessories; Clothing","Boots: 9; Clothing - Ladies Clothing: 13; Clothing - Clothing Accessories: 1; Clothing: 1"
visentin-equestrian,"Visentin Equestrian",23,,"HORSE: Number Holders; (No Product Type)","HORSE: Number Holders: 11; (No Product Type): 12"
cavalor-equicare,"Cavalor Equicare",21,,"Horse Supplements; Care; Supplements; Merchandise","Horse Supplements: 1; Care: 7; Supplements: 11; Merchandise: 2"
acavallo,"Shop Acavallo Horse Riding Essentials",21,,"HORSE: Wither & Back Pads; Saddle Pad; saddle pads; Saddle Cloths; Gel & Comfort Pads; HORSE: Bridles; HORSE: Stirrup Irons; Saddles","HORSE: Wither & Back Pads: 9; Saddle Pad: 2; saddle pads: 1; Saddle Cloths: 2; Gel & Comfort Pads: 3; HORSE: Bridles: 1; HORSE: Stirrup Irons: 1; Saddles: 2"
