top_level,parent_category,subcategory_handle,product_type,action,merge_to,notes
,,,socks,,,
,,,Active tights,,,
,,,accessoriess,,,
,,,Shampoo,,,
,,,Key chain ring,,,
,,,riding tights,,,
,,,Wallet,,,
,,,Jumper,,,
,,,UGG Boots,,,
,,,Animals & Pet Supplies,,,
,,,Head Band,,,
,,,Shorts,,,
,,,Saddle Bag,,,
,,,Rope,,,
,,,Polos and Wraps,,,
,,,All Purpose Pads,,,
,,,Bags,,,
,,,Stock Stirrup Straps,,,
,,,Knife,,,
,,,Rain Rugs,,,
,,,Coat and Hoof care,,,
,,,Shetland Pony,,,
,,,Infrared Therapy,,,
,,,Stable Boots,,,
,,,Key Chain,,,
,,,Horse Health & Tack Care,,,
,,,Lunge Roller,,,
,,,Dog Supplements,,,
,,,Jumping Boots,,,
,,,Fly Boots,,,
,,,Stirrups,,,
,,,Fly Masks,,,
,,,Riding Tights,,,
,,,whip,,,
,,,Nosebandless Bridle,,,
,,,plaiting kit,,,
,,,Martingale Attachment,,,
,,,quarter guard,,,
,,,LADIES SHIRT,,,
,,,stable Bag,,,
,,,Cuff,,,
,,,backpack,,,
,,,riding rug,,,
,,,Cover Donation Fee,,,
