trailrace_item_id,trailrace_title,trailrace_price_aud,trailrace_clicks,trailrace_impressions,trailrace_cost_aud,trailrace_conversion_value_aud,trailrace_roas,trailrace_paid_label
shopify_au_6603295654076_44802041708763,Thinline Trim To Fit Shims - Western Thinline (3/16) 4.8mm / 3381 Woven Wool Western SQ-30x30,69.95,3,25.0,1.15,46.61,40.53,tr_c
shopify_au_7551192957147_42510874116315,Dressage Spurs with Heavy Rowel Ladies,65.95,15,865.0,7.99,44.68,5.59,tr_c
shopify_au_7106678751420_40740742234300,Lami-Cell V22 Open Hind Boots Brown / Medium,131.95,2,160.0,2.56,43.44,16.97,tr_c
shopify_au_8065550024923_44204102320347,Kentucky Horsewear Deep Fetlock Boot Black / Medium,189.95,1,260.0,2.77,43.44,15.68,tr_c
shopify_au_7894818390235_43679757893851,Samshield Evy Glossy Long Sleeve Base Layer Stone Grey / Extra Large,229.0,2,36.0,1.05,41.67,39.69,tr_c
shopify_au_4540010627130_31901833199674,Equipe Half Rubber Grip Reins with Notches RE20 Black / Cob,179.95,1,108.0,0.2,40.89,204.45,tr_c
shopify_au_493038469143_4072952266775,Equipe Rubber Grip Reins RE17 Black / Full,159.95,1,91.0,0.35,40.89,116.83,tr_c
shopify_au_490562945047_4030715133975,Equipe Soft Grease,39.95,5,163.0,2.27,39.95,17.6,tr_c
shopify_au_7127033446588_40812977062076,Equipe Emporio Mono Dressage Saddle Black / 17.5N / +1,5495.0,12,646.0,4.54,39.24,8.64,tr_c
shopify_au_9011641975003_47719666188507,Trolle Cashmere & Wool Star Logo Sweater Terra / Medium,450.0,5,920.0,15.16,37.96,2.5,tr_c
shopify_au_8304588194011_45030560760027,Deluxe Fleece Bareback Saddle,299.95,51,0.0,44.41,36.34,0.82,tr_c
shopify_au_8685849608411_46031027044571,Samshield Chloe Crystal Breeches - FW24 White / 42,399.0,3,164.0,3.74,36.23,9.69,tr_c
shopify_au_8148605370587_44427484102875,Samshield Shadowmatt 2.0 Helmet Navy / Medium,799.0,12,0.0,11.82,35.84,3.03,tr_c
shopify_au_7811348463835_43305406562523,Charles Owen Hair Net Blonde,8.95,11,242.0,12.62,35.33,2.8,tr_c
shopify_au_7874623340763_43553085751515,ThinLine Stirrup Wrap English,39.95,5,350.0,3.17,34.87,11.0,tr_c
shopify_au_8223672631515_44710919143643,Stallion Chain Solid Brass,54.95,6,343.0,3.94,34.87,8.85,tr_c
shopify_au_8840310653147_46645904474331,Samshield Roxy Premium Competition Shirt - SS25 Black / Large,299.0,2,83.0,0.73,34.87,47.77,tr_c
