OLD URLs,New URLs
/collections/horse-riding-apparel/belts,
/collections/horse-riding-apparel/mens-tops,
/collections/horse-riding-apparel/horse-riding-and-casual-shirts,
/collections/horse-riding-apparel/polo-tops,
/collections/horse-riding-apparel/casual-jackets,
/collections/horse-riding-apparel/socks,
/collections/horse-riding-apparel/show-jackets,
/collections/horse-riding-apparel/mens,
/collections/horse-riding-apparel/womens,
/collections/horse-riding-apparel/stock,
/collections/horse-riding-apparel/riding-tights,
/collections/horse-riding-apparel/women,
/collections/horse-riding-apparel/horse-riding-jeans,
/collections/westerns-saddles-usa/jumping,
/collections/westerns-saddles-usa/dressage,
/collections/strapping/grackle-bridles,
/collections/strapping/equipe-bridles,
/collections/strapping/bridle,
/collections/strapping/browbands-for-horses,
/collections/strapping/bridles,
/collections/strapping/dressage-bridles,
/collections/strapping/western-breastplates,
/collections/strapping/breastplates-martingales,
/collections/strapping/showjumping-bridles,
/collections/strapping/reins,
/collections/strapping/showjumping-girths,
/collections/strapping/all-purpose-girths,
/collections/black-friday-deals-for-equestrians/jumping,
/collections/black-friday-deals-for-equestrians/bit,
